cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;obitos_infantis;nascidos_vivos;TMI;ANO
520551;5205513;Cocalzinho de Goiás;GO;25016;2;277;7.220216606498195;2021
520552;5205521;Colinas do Sul;GO;4030;0;61;0.0;2021
520570;5205703;Córrego do Ouro;GO;2454;1;24;41.666666666666664;2021
520580;5205802;Corumbá de Goiás;GO;10562;0;99;0.0;2021
520590;5205901;Corumbaíba;GO;9164;1;102;9.803921568627452;2021
520620;5206206;Cristalina;GO;62337;18;928;19.396551724137932;2021
520630;5206305;Cristianópolis;GO;3504;0;50;0.0;2021
520640;5206404;Crixás;GO;17065;0;196;0.0;2021
520650;5206503;Cromínia;GO;3883;1;40;25.0;2021
520660;5206602;Cumari;GO;2927;0;29;0.0;2021
520670;5206701;Damianópolis;GO;3770;2;60;33.333333333333336;2021
520680;5206800;Damolândia;GO;2724;0;19;0.0;2021
520690;5206909;Davinópolis;GO;1902;0;18;0.0;2021
520710;5207105;Diorama;GO;2062;1;15;66.66666666666667;2021
520725;5207253;Doverlândia;GO;6956;2;72;27.777777777777775;2021
520735;5207352;Edealina;GO;4001;0;46;0.0;2021
520740;5207402;Edéia;GO;11747;0;137;0.0;2021
520750;5207501;Estrela do Norte;GO;3205;0;31;0.0;2021
520753;5207535;Faina;GO;7070;3;55;54.54545454545454;2021
520760;5207600;Fazenda Nova;GO;5877;1;41;24.390243902439025;2021
520780;5207808;Firminópolis;GO;10419;0;94;0.0;2021
520790;5207907;Flores de Goiás;GO;13744;1;93;10.752688172043012;2021
520800;5208004;Formosa;GO;115901;16;1679;9.529481834425255;2021
520810;5208103;Formoso;GO;4660;0;52;0.0;2021
520815;5208152;Gameleira de Goiás;GO;3456;1;31;32.25806451612903;2021
520830;5208301;Divinópolis de Goiás;GO;4457;0;63;0.0;2021
520840;5208400;Goianápolis;GO;13967;2;185;10.81081081081081;2021
520850;5208509;Goiandira;GO;4973;0;42;0.0;2021
520860;5208608;Goianésia;GO;73707;15;1003;14.955134596211366;2021
