cod_mun_ibge_6;ANO;UF;municipio;populacao;TMI;COBERTURA_PRENATAL;TAXA_MEDICOS;PROP_CESAREOS;PROP_MAL_DEFINIDAS;DOENCAS_CRONICAS
521690;2021;GO;Pilar de Goiás;2328;0.0;73.33333333333333;0.42955326460481097;70.0;0.0;8.59106529209622
521690;2022;GO;Pilar de Goiás;2328;38.46153846153847;69.23076923076923;0.8591065292096219;69.23076923076923;0.0;4.29553264604811
521710;2021;GO;Piracanjuba;24883;29.914529914529915;76.49572649572649;0.08037616043081622;73.50427350427351;3.484320557491289;24.112848129244863
521710;2022;GO;Piracanjuba;24883;16.949152542372882;83.05084745762711;0.08037616043081622;69.0677966101695;4.878048780487805;13.262066471084676
521720;2021;GO;Piranhas;11712;14.084507042253522;47.183098591549296;0.17076502732240437;88.73239436619718;1.2987012987012987;6.830601092896175
521720;2022;GO;Piranhas;11712;18.69158878504673;49.532710280373834;0.17076502732240437;89.7196261682243;0.0;11.953551912568306
521730;2021;GO;Pirenópolis;26690;3.6900369003690034;53.13653136531366;0.07493443237167478;73.06273062730627;1.3636363636363635;12.36418134132634
521730;2022;GO;Pirenópolis;26690;16.72240802675585;62.207357859531776;0.07493443237167478;78.59531772575251;1.6483516483516485;10.116148370176097
521740;2021;GO;Pires do Rio;32373;8.152173913043478;60.32608695652174;0.06177987829363977;75.81521739130434;2.318840579710145;12.66487505019615
521740;2022;GO;Pires do Rio;32373;14.88833746898263;51.1166253101737;0.06177987829363977;76.92307692307693;0.7042253521126761;19.460661662496523
521760;2021;GO;Planaltina;105031;12.286689419795222;59.658703071672356;0.019041997124658434;47.781569965870304;0.9419152276295133;3.5227694680618105
521760;2022;GO;Planaltina;105031;7.957559681697613;63.46153846153846;0.019041997124658434;49.20424403183024;1.3779527559055118;3.332349496815226
521770;2021;GO;Pontalina;18309;5.1020408163265305;96.93877551020408;0.10923589491506909;78.06122448979592;1.0526315789473684;18.0239226609864
521770;2022;GO;Pontalina;18309;15.306122448979592;90.3061224489796;0.10923589491506909;78.57142857142857;3.260869565217391;6.0079742203288005
521800;2021;GO;Porangatu;44317;14.44043321299639;78.33935018050542;0.045129408579100576;83.21299638989169;0.4357298474945534;8.574587630029107
521800;2022;GO;Porangatu;44317;13.618677042801556;74.5136186770428;0.045129408579100576;81.32295719844358;0.5988023952095809;8.800234672924612
521805;2021;GO;Porteirão;4070;15.625;67.1875;0.4914004914004914;75.0;0.0;4.914004914004914
521805;2022;GO;Porteirão;4070;0.0;72.09302325581395;0.4914004914004914;72.09302325581395;0.0;2.457002457002457
521810;2021;GO;Portelândia;3280;0.0;78.125;0.6097560975609756;87.5;5.263157894736842;12.195121951219512
521810;2022;GO;Portelândia;3280;22.727272727272727;79.54545454545455;0.6097560975609756;81.81818181818183;3.4482758620689653;15.24390243902439
521830;2021;GO;Posse;34914;10.73345259391771;73.52415026833631;0.057283611158847454;68.69409660107334;0.0;15.752993068683049
521830;2022;GO;Posse;34914;14.198782961460447;70.79107505070994;0.057283611158847454;61.66328600405679;2.73972602739726;21.76777224036203
521839;2021;GO;Professor Jamil;3649;0.0;76.66666666666667;0.5480953685941354;73.33333333333333;2.857142857142857;8.22143052891203
521839;2022;GO;Professor Jamil;3649;0.0;75.75757575757575;0.5480953685941354;78.78787878787878;10.0;16.44286105782406
521850;2021;GO;Quirinópolis;48447;14.492753623188406;72.94685990338165;0.041282225937622555;91.46537842190016;0.592885375494071;14.655190207856009
521850;2022;GO;Quirinópolis;48447;11.272141706924316;81.32045088566827;0.041282225937622555;91.30434782608695;1.015228426395939;26.007802340702213
521860;2021;GO;Rialma;12165;0.0;80.24691358024691;0.16440608302507193;76.5432098765432;1.5037593984962405;9.042334566378956
521860;2022;GO;Rialma;12165;40.0;78.66666666666666;0.16440608302507193;78.0;0.9259259259259258;2.466091245376079
521870;2021;GO;Rianápolis;3980;0.0;79.54545454545455;0.5025125628140704;90.9090909090909;0.0;7.537688442211055
521870;2022;GO;Rianápolis;3980;0.0;92.15686274509804;0.5025125628140704;76.47058823529412;0.0;7.537688442211055
521878;2021;GO;Rio Quente;3864;0.0;84.375;0.5175983436853002;78.125;3.571428571428571;5.175983436853002
521878;2022;GO;Rio Quente;3864;0.0;97.77777777777777;0.5175983436853002;86.66666666666667;0.0;0.0
521880;2021;GO;Rio Verde;225696;13.093788063337392;70.49330085261876;0.008861477385509712;69.70158343483557;0.3919007184846506;4.519353466609953
521880;2022;GO;Rio Verde;225696;9.556103575832305;71.57829839704068;0.008861477385509712;70.40690505548706;0.24834437086092717;6.513185878349638
521890;2021;GO;Rubiataba;19788;14.354066985645934;79.42583732057416;0.10107135637760258;80.86124401913875;0.0;9.096422073984233
521890;2022;GO;Rubiataba;19788;4.081632653061225;85.3061224489796;0.10107135637760258;75.91836734693878;0.591715976331361;26.278552658176675
521900;2021;GO;Sanclerlândia;7918;0.0;95.18072289156626;0.2525890376357666;87.95180722891565;1.2195121951219512;11.366506693609498
521900;2022;GO;Sanclerlândia;7918;0.0;86.51685393258427;0.2525890376357666;84.26966292134831;0.0;13.892397069967164
521910;2021;GO;Santa Bárbara de Goiás;6149;0.0;81.94444444444444;0.3252561392096276;72.22222222222221;0.0;6.505122784192552
521910;2022;GO;Santa Bárbara de Goiás;6149;0.0;79.3103448275862;0.3252561392096276;77.58620689655173;1.7241379310344827;11.383964872336966
521920;2021;GO;Santa Cruz de Goiás;3002;0.0;77.77777777777779;0.6662225183211192;61.111111111111114;3.3333333333333335;16.655562958027982
521920;2022;GO;Santa Cruz de Goiás;3002;76.92307692307693;61.53846153846154;0.6662225183211192;61.53846153846154;3.225806451612903;19.986675549633578
