cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;total_obitos;obitos_mal_definidas;PROP_MAL_DEFINIDAS;TX_MAL_DEFINIDAS_P10K;ANO
171845;1718451;Pugmil;TO;2193;18;0;0.0;0.0;2022
171850;1718501;Recursolândia;TO;3421;25;0;0.0;0.0;2022
171855;1718550;Riachinho;TO;3960;23;0;0.0;0.0;2022
171865;1718659;Rio da Conceição;TO;1768;12;0;0.0;0.0;2022
171870;1718709;Rio dos Bois;TO;2738;14;0;0.0;0.0;2022
171875;1718758;Rio Sono;TO;4841;34;1;2.941176470588235;2.065688907250568;2022
171880;1718808;Sampaio;TO;4215;27;1;3.7037037037037033;2.372479240806643;2022
171884;1718840;Sandolândia;TO;3723;16;0;0.0;0.0;2022
171886;1718865;Santa Fé do Araguaia;TO;7216;40;1;2.5;1.3858093126385809;2022
171888;1718881;Santa Maria do Tocantins;TO;2680;11;0;0.0;0.0;2022
171889;1718899;Santa Rita do Tocantins;TO;2219;7;2;28.57142857142857;9.013068949977468;2022
171890;1718907;Santa Rosa do Tocantins;TO;4653;32;4;12.5;8.596604341285191;2022
171900;1719004;Santa Tereza do Tocantins;TO;2781;15;0;0.0;0.0;2022
172000;1720002;Santa Terezinha do Tocantins;TO;2406;18;2;11.11111111111111;8.31255195344971;2022
172010;1720101;São Bento do Tocantins;TO;5654;31;0;0.0;0.0;2022
172015;1720150;São Félix do Tocantins;TO;1783;8;0;0.0;0.0;2022
172020;1720200;São Miguel do Tocantins;TO;13241;52;2;3.8461538461538463;1.5104599350502228;2022
172025;1720259;São Salvador do Tocantins;TO;2385;14;0;0.0;0.0;2022
172030;1720309;São Sebastião do Tocantins;TO;4100;29;3;10.344827586206897;7.317073170731708;2022
172049;1720499;São Valério;TO;4422;36;0;0.0;0.0;2022
172065;1720655;Silvanópolis;TO;5108;52;1;1.9230769230769231;1.9577133907595927;2022
172080;1720804;Sítio Novo do Tocantins;TO;10830;52;0;0.0;0.0;2022
172085;1720853;Sucupira;TO;1577;9;0;0.0;0.0;2022
172090;1720903;Taguatinga;TO;14011;96;3;3.125;2.141174791235458;2022
172093;1720937;Taipas do Tocantins;TO;2021;9;1;11.11111111111111;4.948045522018803;2022
172097;1720978;Talismã;TO;2456;20;0;0.0;0.0;2022
172100;1721000;Palmas;TO;302692;1369;21;1.5339663988312637;0.6937745298851637;2022
172110;1721109;Tocantínia;TO;7459;54;4;7.4074074074074066;5.362649148679448;2022
172120;1721208;Tocantinópolis;TO;22615;133;1;0.7518796992481203;0.4421843908910016;2022
172125;1721257;Tupirama;TO;1909;10;1;10.0;5.238344683080147;2022
172130;1721307;Tupiratins;TO;1874;16;2;12.5;10.672358591248667;2022
172208;1722081;Wanderlândia;TO;10522;73;0;0.0;0.0;2022
172210;1722107;Xambioá;TO;10517;78;2;2.564102564102564;1.9016829894456593;2022
