CO_MICIBGE CO_ATIVOTATUATIVO  DS_NOME                              DS_NOMEPAD                                 DS_ABREV                             NU_ORDEM
29010      ATIVO              Jacobina - BA                        JACOBINA - BA                              Jacobina - BA                        1
29011      ATIVO              Itaberaba - BA                       ITABERABA - BA                             Itaberaba - BA                       1
29012      ATIVO              Feira De Santana - BA                FEIRA DE SANTANA - BA                      Feira De Santana - BA                1
29013      ATIVO              Jeremoabo - BA                       JEREMOABO - BA                             Jeremoabo - BA                       1
29014      ATIVO              Euclides Da Cunha - BA               EUCLIDES DA CUNHA - BA                     Euclides Da Cunha - BA               1
29015      ATIVO              Ribeira Do Pombal - BA               RIBEIRA DO POMBAL - BA                     Ribeira Do Pombal - BA               1
29016      ATIVO              Serrinha - BA                        SERRINHA - BA                              Serrinha - BA                        1
29017      ATIVO              Alagoinhas - BA                      ALAGOINHAS - BA                            Alagoinhas - BA                      1
29018      ATIVO              Entre Rios - BA                      ENTRE RIOS - BA                            Entre Rios - BA                      1
29019      ATIVO              Catu - BA                            CATU - BA                                  Catu - BA                            1
29020      ATIVO              Santo Antonio De Jesus - BA          SANTO ANTONIO DE JESUS - BA                Santo Antonio De Jesus - BA          1
29021      ATIVO              Salvador - BA                        SALVADOR - BA                              Salvador - BA                        1
29022      ATIVO              Boquira - BA                         BOQUIRA - BA                               Boquira - BA                         1
29023      ATIVO              Seabra - BA                          SEABRA - BA                                Seabra - BA                          1
29024      ATIVO              Jequie - BA                          JEQUIE - BA                                Jequie - BA                          1
29025      ATIVO              Livramento Do Brumado - BA           LIVRAMENTO DO BRUMADO - BA                 Livramento Do Brumado - BA           1
29026      ATIVO              Guanambi - BA                        GUANAMBI - BA                              Guanambi - BA                        1
29027      ATIVO              Brumado - BA                         BRUMADO - BA                               Brumado - BA                         1
29028      ATIVO              Vitoria Da Conquista - BA            VITORIA DA CONQUISTA - BA                  Vitoria Da Conquista - BA            1
29029      ATIVO              Itapetinga - BA                      ITAPETINGA - BA                            Itapetinga - BA                      1
29030      ATIVO              Valenca - BA                         VALENCA - BA                               Valenca - BA                         1
29031      ATIVO              Ilheus-Itabuna - BA                  ILHEUS-ITABUNA - BA                        Ilheus-Itabuna - BA                  1
29032      ATIVO              Porto Seguro - BA                    PORTO SEGURO - BA                          Porto Seguro - BA                    1
31000      IGNOR              Municipio Ignorado - Mg -            MUNICIPIO IGNORADO - MG -                  Municipio Ignorado - Mg -            8
31001      ATIVO              Unai - MG                            UNAI - MG                                  Unai - MG                            1
